"","date","ccode","icews_violence","precip_mean","panel_precip_mean","panel_precip_sd","temp_mean","panel_temp_mean","panel_temp_sd","country","DEMOC_lag","gdp_pc_lag","icews_lag","population_lag","year","El_Nino","dev","posDev","posDev_sq","negDev","negDev_sq","preDev","posPreDev","posPreDev_sq","negPreDev","negPreDev_sq"
"2750",2013-08-01,"780",10,48.08839417,43.0676639614801,4.70746082075126,27.27290535,26.3766375467164,1.2094346923602,"Sri Lanka",5,7.52497182735227,0,16.8275098039821,"2013",0,0.74106,0.74106,0.5491699236,0,0,1.06655,1.06655,1.1375289025,0,0
"2751",2013-08-01,"790",0,18.7417717,8.9585660302301,5.87868047484117,12.50806999,3.50637321689801,6.36964608598117,"Nepal",6,5.9944999356515,0,17.1287643828376,"2013",0,1.41322,1.41322,1.9971907684,0,0,1.66418,1.66418,2.7694950724,0,0
"2752",2013-08-01,"800",0,49.74500275,40.6737507118408,7.51409453040118,25.04903221,24.9193374701244,1.54126121234052,"Thailand",7,8.10103208451365,0,18.0169890773668,"2013",0,0.08415,0.08415,0.0070812225,0,0,1.20723,1.20723,1.4574042729,0,0
"2753",2013-08-01,"811",1,51.96182632,43.9294170242164,7.20801916848115,25.51225917,25.2220456578856,1.54186671982289,"Cambodia",3,6.48549898463406,0,16.5144961998018,"2013",0,0.18822,0.18822,0.0354267684,0,0,1.11437,1.11437,1.2418204969,0,0
"2754",2013-08-01,"812",0,46.44214884,35.0140412675746,9.16445891002951,23.0953776,21.4615833198259,2.40387108277517,"Lao PDR",0,6.55361426478721,0,15.7094996968627,"2013",0,0.67965,0.67965,0.4619241225,0,0,1.247,1.247,1.555009,0,0
"2755",2013-08-01,"820",0,49.23701859,47.4833347914801,3.23129486588993,26.88629103,26.5276730499005,0.736920062476031,"Malaysia",6,8.81937739774764,0,17.1910456962627,"2013",0,0.48664,0.48664,0.2368184896,0,0,0.54272,0.54272,0.2945449984,0,0
"2756",2013-08-01,"840",0,50.83954544,42.4394604478856,4.86430288055137,26.76154671,25.8493843002114,1.21617762870108,"Philippines",8,7.32343272981998,0,18.3871939062709,"2013",0,0.75002,0.75002,0.5625300004,0,0,1.72688,1.72688,2.9821145344,0,0
"2757",2013-08-01,"850",0,45.06246766,43.5556117591915,2.76427845353928,24.83601777,24.8326858628358,0.432636569658142,"Indonesia",9,7.46655759328044,5,19.32434890937,"2013",0,0.0077,0.0077,5.929e-05,0,0,0.54512,0.54512,0.2971558144,0,0
"2758",2013-08-01,"900",0,13.71242817,21.4977212044901,6.50318150550321,18.69117068,22.5931370959453,4.72652213269194,"Australia",10,10.5685566061137,3,16.9389277920158,"2013",0,-0.82555,0,0,0.82555,0.6815328025,-1.19715,0,0,1.19715,1.4331681225
"2759",2013-08-01,"910",1,40.53752518,41.2269387155721,2.5809995460217,23.5561854,23.8662836861567,0.455028114203469,"Papua New Guinea",4,7.0381868721888,0,15.784999110259,"2013",0,-0.68149,0,0,0.68149,0.4644286201,-0.26711,0,0,0.26711,0.0713477521
"2760",2013-08-01,"920",0,14.49870849,16.6966446923259,3.50347491020157,10.14968109,12.1628622022637,2.62949577829505,"New Zealand",10,10.2414789204072,0,15.3045871137272,"2013",0,-0.76561,0,0,0.76561,0.5861586721,-0.62736,0,0,0.62736,0.3935805696
"2761",2013-09-01,"365",3,12.80659171,9.77285473664677,6.30649119153895,4.380197384,-5.46609639791294,13.0767674055611,"Russian Federation",5,8.83286414510783,0,18.7795991694034,"2013",0,0.75296,0.75296,0.5669487616,0,0,0.48105,0.48105,0.2314091025,0,0
"2762",2013-09-01,"710",4,16.56551428,13.1754084539229,7.08784476649258,12.9462731,4.89314997808458,10.1552391881581,"China",0,7.21084799513335,0,21.0238851117399,"2013",0,0.793,0.793,0.628849,0,0,0.4783,0.4783,0.22877089,0,0
"2763",2013-09-01,"712",0,8.368729484,7.53247700248134,5.41165629117346,7.148531908,-1.88860533222886,13.2485440103907,"Mongolia",10,7.38193144109266,0,14.8438734717899,"2013",0,0.68212,0.68212,0.4652876944,0,0,0.15453,0.15453,0.0238795209,0,0
"2764",2013-09-01,"731",0,18.05633068,14.5758587751915,11.0900315879138,15.03550625,4.99121386711816,12.0503586095168,"Korea, Dem. Rep.",0,5.61569128760875,0,17.0248687535505,"2013",0,0.83353,0.83353,0.6947722609,0,0,0.31384,0.31384,0.0984955456,0,0
"2765",2013-09-01,"732",0,28.57433319,18.8987078944888,12.9498191558029,19.73734093,10.9896842049017,8.92740833094443,"Korea, Rep.",8,9.97871166942565,0,17.7276223794482,"2013",0,0.97987,0.97987,0.9601452169,0,0,0.74716,0.74716,0.5582480656,0,0
"2766",2013-09-01,"740",0,30.63116487,19.5072171260721,12.0536055174272,20.31939411,10.9805557514975,8.03231154680616,"Japan",10,10.5128908846432,1,18.6641090729762,"2013",0,1.16266,1.16266,1.3517782756,0,0,0.92287,0.92287,0.8516890369,0,0
"2767",2013-09-01,"750",35,35.30525137,25.6077314514925,11.4684970241172,23.94332011,21.944272463097,4.0341977975992,"India",9,7.11248228194876,37,20.9357016501029,"2013",0,0.49553,0.49553,0.2455499809,0,0,0.84558,0.84558,0.7150055364,0,0
"2768",2013-09-01,"771",10,38.09399891,24.4840042819726,11.667017045515,20.62666893,17.0301580431915,4.10962004005244,"Bangladesh",6,6.403040943197,5,18.8569683732721,"2013",0,0.87514,0.87514,0.7658700196,0,0,1.16654,1.16654,1.3608155716,0,0
"2769",2013-09-01,"775",0,47.98830379,32.6279662401617,12.3733782754308,23.91494092,22.0355975419154,2.67544892829707,"Myanmar",0,5.88285988600732,0,17.7819709708722,"2013",0,0.70244,0.70244,0.4934219536,0,0,1.2414,1.2414,1.54107396,0,0
"2770",2013-09-01,"780",1,45.31598663,43.0676639614801,4.70746082075126,26.58267212,26.3766375467164,1.2094346923602,"Sri Lanka",5,7.52497182735227,0,16.8275098039821,"2013",0,0.17036,0.17036,0.0290225296,0,0,0.47761,0.47761,0.2281113121,0,0
"2771",2013-09-01,"790",0,12.96533155,8.9585660302301,5.87868047484117,9.715339899,3.50637321689801,6.36964608598117,"Nepal",6,5.9944999356515,0,17.1287643828376,"2013",0,0.97477,0.97477,0.9501765529,0,0,0.68158,0.68158,0.4645512964,0,0
"2772",2013-09-01,"800",2,49.13149834,40.6737507118408,7.51409453040118,25.08677991,24.9193374701244,1.54126121234052,"Thailand",7,8.10103208451365,0,18.0169890773668,"2013",0,0.10864,0.10864,0.0118026496,0,0,1.12558,1.12558,1.2669303364,0,0
